easting_kkj,northing_kkj,easting_etrs_exact,northing_etrs_exact,easting_etrs_interpolated,northing_etrs_interpolated,easting_interpolated_minus_exact,northing_interpolated_minus_exact
3308110.0828607,6675708.14937561,308018.546404821,6672905.5558773,308018.546369746,6672905.55574984,-3.50751797668636e-05,-0.000127463601529598
3297225.20984282,6689941.78758695,297138.05296965,6687133.33382659,297138.054406047,6687133.33276429,0.00143639656016603,-0.00106229819357395
3298538.61206381,6680844.92119903,298450.953317416,6678040.18410968,298450.953593958,6678040.18275002,0.000276541919447482,-0.0013596685603261
3309935.32665631,6688583.01522577,309843.000831827,6685775.18021968,309842.998821115,6685775.18070565,-0.00201071240007877,0.000485963188111782
3298217.30339487,6687485.69220989,298129.751521874,6684678.24516699,298129.752270473,6684678.24410331,0.00074859888991341,-0.00106367189437151
3305998.50857497,6679492.95094308,305907.818034487,6676688.80314801,305907.817486481,6676688.80277227,-0.000548006442841142,-0.00037574116140604
3308159.42223494,6688697.64046943,308067.81890638,6685889.74968889,308067.817541211,6685889.74981779,-0.00136516918428242,0.00012890063226223
3300637.22388828,6680693.07364921,300548.711417102,6677888.40915503,300548.711530341,6677888.40800123,0.00011323910439387,-0.00115379597991705
3224835.8658552,6654588.14413712,224778.33216868,6651793.66880057,224778.332786304,6651793.66898291,0.000617624493315816,0.00018234271556139
3228023.84107059,6665831.14126166,227964.963302008,6663032.1224962,227964.959548857,6663032.12473532,-0.00375315110431984,0.00223911833018064
3231629.34732837,6662551.89708452,231568.997594457,6659754.22254574,231568.996767913,6659754.22339901,-0.000826544244773686,0.000853267498314381
3240649.86901331,6669305.95902123,240585.791576057,6666505.58492306,240585.790339948,6666505.58548775,-0.00123610935406759,0.000564687885344028
3239584.53735036,6675446.31525919,239520.879271387,6672643.44798502,239520.87638348,6672643.44919136,-0.00288790685590357,0.00120633933693171
3228842.54067079,6666851.19629576,228783.323351627,6664051.76753727,228783.319597972,6664051.76977799,-0.00375365471700206,0.00224072206765413
3234641.9993753,6677319.69207986,234580.367004544,6674516.04476618,234580.363197044,6674516.04701821,-0.00380749927717261,0.00225203484296799
3223859.09503011,6657672.22379409,223801.953504877,6654876.4943703,223801.951497252,6654876.49566129,-0.00200762535678223,0.00129099562764168
3244331.9360423,6686258.53657774,244266.29426615,6683451.30701766,244266.291796761,6683451.30754635,-0.00246938914642669,0.000528691336512566
3228601.85262316,6665090.16899978,228542.739526628,6662291.45297953,228542.736302395,6662291.45494254,-0.00322423366014846,0.00196301378309727
3285235.91226233,6662153.91802967,285153.743135212,6659356.63683373,285153.739375038,6659356.63749148,-0.00376017397502437,0.000657751224935055
3294585.23434114,6680888.34506926,294499.184955068,6678083.56695589,294499.185080984,6678083.56568177,0.000125916034448892,-0.00127412006258965
3292472.88085159,6662880.97557967,292387.761964155,6660083.45145855,292387.761499231,6660083.45161559,-0.000464924203697592,0.000157034024596214
3286573.38492317,6670108.13182471,286490.640101458,6667307.6492209,286490.636103187,6667307.64972324,-0.00399827072396874,0.000502339564263821
3284020.17830716,6669264.65347251,283938.476455387,6666464.49350651,283938.471221941,6666464.49440208,-0.00523344613611698,0.000895572826266289
3285967.30081234,6676371.87226764,285884.77832284,6673568.85704553,285884.774864597,6673568.85730103,-0.0034582432708703,0.000255498103797436
3297967.61857581,6676613.95230181,297880.208567082,6673810.92319254,297880.208305648,6673810.92235462,-0.000261434353888035,-0.00083791371434927
3289263.93437798,6660454.69189281,289180.131662943,6657658.1247346,289180.130539257,6657658.12499123,-0.00112368597183377,0.00025662500411272
3282380.18202381,6682828.87927823,282299.094999895,6680023.23260067,282299.092515213,6680023.23297921,-0.00248468201607466,0.000378536991775036
3299675.46295803,6670775.0729317,299587.380316644,6667974.41264027,299587.380290478,6667974.41245477,-2.61652749031782e-05,-0.000185501761734486
3321342.89400244,6692612.42522101,321245.934115861,6689803.00900426,321245.933278,6689803.00802067,-0.00083786150207743,-0.000983593054115772
3329624.37419502,6687293.56283967,329524.082058366,6684486.36164564,329524.080576345,6684486.36132964,-0.0014820207725279,-0.000316005200147629
3331638.69720721,6692039.3206611,331537.570756097,6689230.19184542,331537.570326611,6689230.19121325,-0.000429486040957272,-0.000632177107036114
3325413.90544096,6684552.18640979,325315.328949404,6681746.08291154,325315.32667212,6681746.08248555,-0.00227728439494967,-0.000425985082983971
3328535.07895106,6682199.24343062,328435.247954206,6679394.11699693,328435.246022893,6679394.11692118,-0.00193131249397993,-7.57472589612007e-05
3329349.72920638,6682225.28642945,329249.568250828,6679420.15358231,329249.566414964,6679420.15359507,-0.00183586368802935,1.27591192722321e-05
3316924.57285315,6691402.42843273,316829.406736441,6688593.48345351,316829.404449662,6688593.48293838,-0.00228677899576724,-0.000515134073793888
3324581.90036282,6678169.62809345,324483.685910385,6675366.12677678,324483.68347669,6675366.12647613,-0.00243369501549751,-0.000300643034279346
3333186.94320042,6692593.78201431,333085.187671244,6689784.43479286,333085.187309039,6689784.43426997,-0.000362204911652952,-0.000522896647453308
3325584.10511792,6676277.97040034,325485.49232338,6673475.2467881,325485.490410765,6673475.24655552,-0.00191261456348002,-0.000232581980526447
3455946.46344201,6967840.5160547,455793.12992024,6964920.77130068,455793.12960077,6964920.77146627,-0.000319469894748181,0.000165587291121483
3449911.74202888,6963513.11717036,449760.898983374,6960595.08417309,449760.898658816,6960595.08400452,-0.000324557768180966,-0.000168570317327976
3459042.67260432,6977034.01205064,458887.992842443,6974110.55793119,458887.995014911,6974110.55685642,0.002172467764467,-0.00107477512210608
3448988.89091339,6970637.76536279,448838.352275122,6967716.8328738,448838.354073485,6967716.83167261,0.00179836346069351,-0.00120119471102953
