easting_kkj,northing_kkj,easting_etrs_exact,northing_etrs_exact,easting_etrs_interpolated,northing_etrs_interpolated,easting_interpolated_minus_exact,northing_interpolated_minus_exact
3243103.00630549,6679170.91620529,243037.890947911,6676366.55411561,243037.891056339,6676366.55411769,0.000108427804661915,2.07871198654175e-06
3237079.64407494,6676139.77895954,237017.013401648,6673336.62010403,237017.013679469,6673336.62010877,0.000277820741757751,4.73670661449432e-06
3237365.86937187,6674183.87741546,237303.126950232,6671381.51249388,237303.127210617,6671381.51242366,0.00026038521900773,-7.02179968357086e-05
3285860.96072345,6684979.90083665,285778.447911292,6682173.41020577,285778.447961742,6682173.40993165,5.04505005665123e-05,-0.000274118036031723
3294145.50272361,6676163.37490634,294059.650854588,6673360.5009747,294059.65071322,6673360.50099096,-0.000141368305776268,1.62618234753609e-05
3295675.1064139,6672549.89066847,295588.645799634,6669748.48601971,295588.645841283,6669748.4860015,4.16493276134133e-05,-1.82073563337326e-05
3283686.9753282,6671326.972012,283605.401102064,6668525.97725507,283605.401036428,6668525.97730429,-6.56362390145659e-05,4.92241233587265e-05
3291247.91048313,6671704.76411725,291163.255940602,6668903.66968066,291163.256391042,6668903.66949244,0.000450440449640155,-0.000188223086297512
3300781.30929937,6671430.90458756,300692.773791462,6668629.98729201,300692.77403878,6668629.98719766,0.000247318239416927,-9.4342976808548e-05
3283356.48439708,6670713.79807509,283275.047143257,6667913.04851964,283275.047086111,6667913.04856301,-5.71454875171185e-05,4.33698296546936e-05
3286440.20312424,6658146.54054278,286357.559259093,6655350.88535384,286357.559224116,6655350.88535308,-3.49760521203279e-05,-7.5995922088623e-07
3303801.97966615,6673350.94017081,303712.206630085,6670549.26894624,303712.207008195,6670549.26880019,0.000378110154997557,-0.000146053731441498
3303204.0631133,6676087.65373998,303114.522860884,6673284.87365298,303114.523069134,6673284.87338393,0.000208250188734382,-0.000269045121967793
3328977.73346772,6685742.47204634,328877.709272627,6682935.90093174,328877.709789993,6682935.90050389,0.00051736639579758,-0.000427844934165478
3324471.70454154,6681520.84250648,324373.521499586,6678715.97205803,324373.521134686,6678715.9718256,-0.000364900741260499,-0.000232430174946785
3316951.45921555,6693941.8745281,316856.27220352,6691131.89263547,316856.271775522,6691131.89243196,-0.000427997554652393,-0.000203516334295273
3328120.96773635,6679940.2090148,328021.313318931,6677136.00297388,328021.312965073,6677136.00282117,-0.000353857933077961,-0.000152715481817722
3319479.7354977,6696318.40039859,319383.515406911,6693507.46108899,319383.515512978,6693507.46078108,0.000106066931039095,-0.000307917594909668
3332516.65536117,6681072.69064051,332415.21664383,6678268.04490021,332415.216341815,6678268.04496733,-0.000302015221677721,6.71222805976868e-05
3337277.44850925,6689383.66871722,337174.049365806,6686575.653633,337174.04903557,6686575.65374821,-0.000330236623995006,0.000115205533802509
3315515.84545035,6695045.03054988,315421.235377735,6692234.59071304,315421.23501564,6692234.59050059,-0.000362094899173826,-0.000212451443076134
3322535.13338925,6695444.81366372,322437.679595365,6692634.24694194,322437.679483593,6692634.24683314,-0.000111772387754172,-0.000108801759779453
3317805.51630466,6692916.12786935,317709.987523397,6690106.56929478,317709.987030064,6690106.56912671,-0.00049333373317495,-0.000168070197105408
3455283.664511,6975541.04247225,455130.524252189,6972618.16636744,455130.52491477,6972618.1660022,0.000662580947391689,-0.000365238636732101
3446097.34370509,6957303.87760883,445948.108935068,6954388.33700369,445948.108909996,6954388.33688817,-2.50712037086487e-05,-0.000115529634058475
3447695.53070268,6960544.53721898,447545.615810405,6957627.69287383,447545.616196667,6957627.692598,0.000386262370739132,-0.000275835394859314
3456876.99249462,6973283.28290879,456723.228066905,6970361.33536986,456723.228195994,6970361.33516404,0.000129089457914233,-0.000205820426344872
3439335.2676162,6959342.04811738,439188.755878816,6956425.62942387,439188.755950945,6956425.62934705,7.2129478212446e-05,-7.68173485994339e-05
3441789.36070552,6955278.06706005,441641.893362099,6952363.31669376,441641.89293253,6952363.31661863,-0.000429569510743022,-7.51297920942307e-05
3443268.79343693,6951255.75457312,443120.765450327,6948342.64832385,443120.765277051,6948342.64832506,-0.000173276173882186,1.20885670185089e-06
3448792.77139468,6959933.48219812,448642.417404815,6957016.89414961,448642.417555619,6957016.89400318,0.000150803942233324,-0.000146429054439068
3445232.37274205,6967292.391374,445083.390783302,6964372.7889891,445083.39079325,6964372.78893837,9.94803849607706e-06,-5.07310032844543e-05
3453284.94637369,6964424.10049145,453132.726040625,6961505.72287752,453132.726174289,6961505.72273941,0.000133663765154779,-0.00013810396194458
3370389.10670795,6675560.4823163,370272.372026771,6672758.22313652,370272.371615682,6672758.22325092,-0.000411088578402996,0.000114401802420616
3377728.59644856,6674974.73696977,377608.897217035,6672172.74747403,377608.89673975,6672172.74727247,-0.00047728483332321,-0.000201563350856304
3368205.3180289,6680203.77396114,368089.4485847,6677399.62579501,368089.448894626,6677399.62549463,0.000309925933834165,-0.000300383195281029
3376995.09936351,6666963.06091003,376875.726803775,6664164.31072507,376875.727081855,6664164.31061167,0.000278079591225833,-0.000113400630652905
3380545.78729484,6674166.28088802,380424.952348289,6671364.63111812,380424.952103105,6671364.63096472,-0.00024518376449123,-0.000153403729200363
3368308.04834463,6645701.73155744,368192.267338933,6642911.54787931,368192.267475987,6642911.54790838,0.000137054768856615,2.90730968117714e-05
3362688.73512934,6668412.39706749,362575.140005762,6665612.9967177,362575.139999098,6665612.99662979,-6.66314736008644e-06,-8.79112631082535e-05
3359118.45419577,6667940.58254739,359006.304022671,6665141.35728986,359006.304117438,6665141.35721522,9.47663211263716e-05,-7.46436417102814e-05
3365669.81639974,6661172.40428139,365555.043540236,6658375.94742528,365555.043232596,6658375.94728537,-0.000307640060782433,-0.000139912590384483
3370774.57271709,6657263.9040229,370657.75114391,6654469.05174071,370657.751134106,6654469.05151877,-9.80420736595988e-06,-0.000221940688788891
3387426.24666868,6710295.92128926,387302.444351302,6707479.70617663,387302.444235877,6707479.70605852,-0.000115424627438188,-0.000118101947009563
3382687.59070749,6714943.44946335,382565.674523306,6712125.31049836,382565.674072796,6712125.31048599,-0.000450509251095355,-1.23782083392143e-05
3387853.75313877,6711178.69058239,387729.770558964,6708362.11739151,387729.770577956,6708362.11726264,1.89915881492198e-05,-0.000128871761262417
3392078.5562418,6719270.6904765,391952.797133416,6716450.83661601,391952.797192945,6716450.83649082,5.95293240621686e-05,-0.000125190243124962
3381732.22310182,6724264.65510716,381610.622138127,6721442.70491307,381610.621898015,6721442.70454413,-0.000240112072788179,-0.000368946231901646
3387908.9356906,6710929.13489996,387784.932662614,6708112.66391052,387784.932686031,6708112.66377685,2.34168255701661e-05,-0.000133676454424858
3389230.84653245,6705387.70409525,389106.350275377,6702573.50304256,389106.349747831,6702573.50309209,-0.000527545984368771,4.9530528485775e-05
